question,answer_llm,answer_orig,document
"Can students get the Zoom URL for the live sessions, or is it only for instructors and TAs?",No. The Zoom link is only published to instructors/presenters/TAs. Students join via YouTube Live and ask questions through Slido.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to ask questions during office hours if we can’t use the chat?,"If you can’t use the chat, ask questions in **Slack** and follow the course’s **asking questions guidelines**.

Also, for live office hours, questions should be submitted via **Slido** rather than chat, since chat messages may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the live session video posted somewhere like Telegram, Slack, or YouTube before it begins?","Yes. The video URL should be posted in the announcements channel on Telegram and Slack before it begins, and you can also watch it live on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I begin if I’m just starting LLM Zoomcamp?,"If you’re just starting, begin with the **LLM Zoomcamp docs** and the **general Zoomcamp logistics docs**, then use the **LLM Zoomcamp GitHub repository**:

- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://datatalks.club/docs/courses/zoomcamp-logistics/
- https://github.com/DataTalksClub/llm-zoomcamp

A typical workflow is:

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform before the deadline

You can start whenever you want, since the materials are available.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly flow for watching lessons, doing the notebooks, and handing in homework?","A typical weekly flow is:

1. Watch the lesson videos.  
2. Work through the lesson notebooks/code.  
3. Read the homework instructions on GitHub.  
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow, but uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to start the course on a specific date, or can I jump in anytime?","You can start whenever you want. The videos, GitHub materials, and homework deadlines are available, so you don’t need to begin on a specific date.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where do I find the lesson videos, code notebooks, and homework instructions for this course?","Find them in the **LLM Zoomcamp GitHub repository**. Open the **lesson folders** there: each lesson page has the **videos linked at the top**, along with the **lesson notebooks/code**.

For homework, read the **GitHub homework instructions** as well as the course platform page. The platform is mainly for **submission and deadlines**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How does the homework differ from the lesson work, and where do I submit it?","Homework is similar to the lesson work, but it uses a different dataset or a slightly different task.

You submit the homework through the course management platform before the deadline.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my entry on the leaderboard if I can’t spot my name?,"Click the **“Jump to your record on the leaderboard”** link. Your account is automatically assigned a random display name, so that link will take you directly to your entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show a random name for me instead of my real one?,"The leaderboard shows your separate **public display name**, not your certificate name. That display name is **assigned randomly by default** (for example, “Lucid Elbakyan”) so your real name stays off the public leaderboard.

If you want to change it, go to **Edit Course Profile**:
- **First field:** public nickname / leaderboard name
- **Second field:** official name for your certificate","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is in the course profile?,Click the **“Edit Course Profile”** button. The **first field** shows your **display name / nickname** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I change the name that shows on the leaderboard and in the course?,"Go to **Edit Course Profile**.

- **First field**: change your **public/display name**. This is the name shown on the **leaderboard**.
- **Second field**: change your **official name**. This is the name shown on your **certificate**.

So if you want to change the name that shows on the leaderboard and in the course, edit the **first field** in your course profile.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I fill in the profile fields if I want a different nickname on the leaderboard but my real name on the certificate?,"Fill in:

- **First field:** the nickname you want shown on the **leaderboard**  
- **Second field:** your **official real name** as it appears on your ID, which will be printed on the **certificate**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course on my own pace and still get the certificate?,"No. You can work through the course materials in self-paced mode, but you only get the certificate if you finish with a live cohort, including the capstone project and required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Do I need to submit the capstone and peer reviews during the live cohort to get certified?,"Yes. To get certified, you need to finish the capstone project **and** complete the required peer reviews, and both the project submission and peer review must happen **while a live cohort is accepting them**. You can prepare in self-paced mode, but certification requires the live cohort submission/review period.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Is homework required for the certificate in this course?,"No. Homework is not required for the certificate. You need to finish a capstone project and complete the required peer reviews, and that must happen with a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I study the material in self-paced mode, can I later turn in the project for a certificate?","No. You can study the material in self-paced mode and prepare your project, but to get a certificate, you must submit the project and complete the peer reviews while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"What do I need to complete to earn the course certificate, and does it have to be with a live cohort?","To earn the course certificate, you need to:

- complete a **capstone project**
- complete the **required peer reviews**

Homework is **not required**.

And **yes**, it has to be with a **live cohort**: you can prepare the material in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I skipped the first homework, am I still able to get the certificate for the course?","Yes. Homework is not mandatory for the certificate. You still need to pass the Capstone project and complete the required peer reviews, but skipping the first homework does not prevent you from getting the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required for certification, or is passing the Capstone enough?",Homework is not required for certification. Passing the Capstone project is enough.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I need to complete every homework assignment to receive the course certificate?,"No. Homework is not required for the certificate.

To receive the certificate, you need to:
- finish the course with a live cohort,
- complete the capstone project, and
- complete the required peer reviews.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually have to pass to get the certificate if I missed an early homework?,You need to pass the **Capstone project** and complete the **required peer reviews** to get the certificate. Homework is **not required**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Does missing homework hurt my chance of getting the certificate, or is it mainly for the leaderboard?","Missing homework does **not** hurt your chance of getting the certificate. The certificate depends on passing the **Capstone project**, not on homework.

Homework is **optional**; it mainly affects your **leaderboard rank** through the points you earn.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before the deadline?,"Because the homework may still be in draft mode. If the homework title contains `[DRAFT]`, it means it isn’t ready yet, so the content can still change.

The homework is only considered ready when:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, changes are expected, and working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,It means the homework is **not ready yet**.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to do?,"The homework is ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If either one is missing, it’s not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start homework before the form is open on the platform?,"Yes — it’s safe to start working on it early, but it’s at your own risk.

The homework is considered ready only when:
- the homework form is open on the platform, and
- the title does **not** contain `[DRAFT]`.

Until then, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the final homework be different even if I already started working on it?,"Yes. Until the homework is officially ready, its content can still change, so the final homework may be different even if you already started working on it. Working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will run?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the course is scheduled again?,I don't know.,Summer 2027.,bd31146b0e
What term should I expect the next offering of the course?,Summer 2027.,Summer 2027.,bd31146b0e
"Is there a planned upcoming session for this course, and when is it?",I don't know.,Summer 2027.,bd31146b0e
When can I take this course again next?,Summer 2027.,Summer 2027.,bd31146b0e
Where do I find the course videos and lecture links?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**. If anything differs, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should start if I want to watch the lessons?,"Yes — start with the **LLM Zoomcamp docs**:

- https://datatalks.club/docs/courses/llm-zoomcamp/

Also useful:
- the **general Zoomcamp logistics docs**
- the **LLM Zoomcamp GitHub repository**

From there, the usual flow is:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform

You can also start whenever you want, since the videos and materials are available.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I can’t find the videos anywhere in the course page — where are they linked?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**. If you’re unsure, follow the GitHub repo first, since it’s updated more reliably than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to follow the lectures?","Use the **LLM Zoomcamp GitHub repository** as the main place to follow the lectures. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.

If in doubt, follow the **GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Which page or repo should I open first to get the lesson videos?,"Open the **LLM Zoomcamp GitHub repository** first: https://github.com/DataTalksClub/llm-zoomcamp

Then open the **lesson folders** there — each lesson page has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and see what the current cohort is covering?,"Check the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **current cohort structure/syllabus, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a place to follow homework deadlines and track my progress for this course?,"Yes — use the **LLM Zoomcamp course management platform** to follow **homework deadlines** and **track your progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to keep up with the LLM Zoomcamp schedule and assignments?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can track the schedule, deadlines, homework, and your progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"How do I monitor the course structure, homework, and deadlines in one place?","Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **course structure, homework, deadlines, and progress tracking** in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is the LLM Zoomcamp management site the right place for progress tracking and course updates?,"Yes. The LLM Zoomcamp course management platform is the right place to track the syllabus, deadlines, homework, and progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live sessions or office hours for every module, or is everything just pre-recorded?","No—there are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you can ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help?","If you get stuck, ask in **Slack** and include the **code or command output as text**. Avoid screenshots.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when a live session is happening for this course?,"Live sessions are announced separately when they happen. You should watch the course announcements channel on Telegram and Slack for the video link before the session starts, or watch live on the DataTalksClub YouTube channel.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any paid option with regular Zoom office hours or more structured support?,"Yes. The optional paid support option is **AI Shipping Labs**, which includes **regular Zoom office hours** and **additional structure**. It’s separate from the free DataTalks.Club course content.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
